epochs,lr,h_dim,latent_dim,beta,final_loss
10,0.001,100,5,0.01,0.06314839580908735
100,0.001,100,5,0.01,0.06177038404113012
10,0.001,100,32,0.01,0.03229538547337478
10,0.001,100,20,0.01,0.038917503306734644
20,0.001,100,32,0.01,0.03140905226111835
20,0.001,100,32,0.01,0.026455906711465922
20,0.001,100,50,0.01,0.022937772437296014
20,0.001,100,32,0.01,0.02665536050255417
10,0.01,100,10,0.01,0.06836130382004359
10,0.05,100,10,0.01,nan
10,0.005,100,10,0.01,0.06019691897093827
10,0.005,100,16,0.01,0.05131447683517815
10,0.005,100,32,0.01,0.052693512393227705
20,0.001,100,32,0.01,0.025747312535630895
10,0.001,100,32,0.01,0.04966054934859276
10,0.001,100,16,0.01,0.054833750277757644
100,0.001,100,16,0.01,0.028919181561470032
100,0.001,100,16,0.01,0.03086067962050438
